AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,16.67296826,37.10909249,82.28554797,1.792144369,15.38196759,7.429812714,130.0597652
100.0,15.98985088,36.84168948,82.92076059,1.713713834,15.75417606,6.989101711,132.49371000000002
100.0,15.30673349,36.57428648,83.55597320000001,1.638715694,16.6155684,6.574532174,134.92765480000003
100.0,14.62361611,36.30688347,84.19118581,1.566999737,18.16576757,6.184553479,137.3615996
100.0,13.94049873,36.03948046,84.82639843,1.498422322,20.64431264,5.817706983,139.7955444
100.0,13.25738135,35.77207746,85.46161104,1.432846096,24.3352672,5.472620562,142.2294893
100.0,12.57426396,35.50467445,86.09682366,1.370139716,29.57212605,5.148003484,144.6634341
100.0,11.89114658,35.23727145,86.73203627,1.310177588,36.74302872,4.842641578,147.09737890000002
100.0,11.208029199999999,34.96986844,87.36724888,1.252839612,46.29628826,4.555392692,149.5313237
100.0,10.52491182,34.70246543,88.0024615,1.1980109490000002,58.74624375,4.285182425,151.9652686
100.0,9.841794436,34.43506243,88.63767411,1.14558178,74.67944515,4.031000103999999,154.3992134
100.0,9.158677054,34.16765942,89.27288672,1.095447096,94.76117887,3.7918950060000003,156.83315819999999
100.0,8.475559671000001,33.90025642,89.90809934,1.0475064809999999,119.7423426,3.566972802,159.267103
