AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,10.80623036,50.38166452,82.46669494,7.273605539,12.52786224,1.917609959,117.85596164364486
100.0,10.74951578,50.3676804,82.72447176,7.197885716,8.690309798,1.829862615,119.10371255070103
100.0,10.69280121,50.35369627,82.98224858,7.122954152999999,3.5005365160000004,1.746130477,120.35146345701874
100.0,10.63608663,50.33971214,83.24002539,7.048802642999999,-3.397071888,1.6662298119999999,121.59921435967289
100.0,10.57937205,50.32572801,83.49780221,6.975423067,-12.42366717,1.5899852980000002,122.8469652630374
100.0,10.52265748,50.31174388,83.75557903,6.902807387999999,-24.07391966,1.517229634,124.09471616785049
100.0,10.4659429,50.29775976,84.01335585,6.830947655,-38.92457463,1.447803175,125.34246707420564
100.0,10.40922833,50.28377563,84.27113267,6.759835997000001,-57.64360271,1.38155358,126.5902179819159
100.0,10.35251375,50.2697915,84.52890948,6.689464627,-80.99996289,1.3183354809999999,127.8379688843925
100.0,10.29579918,50.25580737,84.7866863,6.619825838,-109.87399679999999,1.2580101609999998,129.0857197892056
100.0,10.239084599999998,50.24182324,85.04446312,6.550912004,-145.2684731,1.200445248,130.3334706946262
100.0,10.18237002,50.22783912,85.30223994,6.482715578,-188.3203002,1.1455144309999998,131.58122159771034
100.0,10.12565545,50.21385499,85.56001676,6.415229092000001,-240.31292630000002,1.093097177,132.82897250328028
