AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,6.287600836,50.66608868,83.72942825,8.641723939,6.473245415,1.576471604,115.9424334
100.0,6.036040841,50.65538004,83.97248424,8.648503775,8.273736621,1.492748317,117.2836842
100.0,5.784480846,50.6446714,84.21554022,8.65528893,10.98956442,1.4134714080000002,118.62493500000001
100.0,5.532920851,50.63396276,84.45859621,8.662079408,14.85816891,1.338404738,119.96618570000001
100.0,5.281360856,50.62325412,84.70165219,8.668875214,20.15515591,1.2673247109999999,121.3074365
100.0,5.029800861,50.61254548,84.94470818,8.675676351,27.19819048,1.200019604,122.64868729999999
100.0,4.778240866,50.60183684,85.18776416,8.682482825,36.35112436,1.136288937,123.989938
100.0,4.526680871,50.5911282,85.43082015,8.689294638,48.02836386,1.07594288,125.3311888
100.0,4.275120876,50.58041956,85.67387613,8.696111795,62.69948438,1.018801683,126.67243959999999
100.0,4.023560881,50.56971092,85.91693212,8.702934301,80.89409822,0.9646951420000001,128.0136903
100.0,3.7720008860000003,50.55900228,86.15998809999999,8.70976216,103.2069818,0.9134620920000001,129.3549411
100.0,3.52044089,50.54829364,86.40304409,8.716595375,130.3034687,0.8649499279999999,130.6961919
100.0,3.268880895,50.537585,86.64610007,8.723433951,162.92511509999997,0.819014149,132.0374427
