AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
17.78249204,39.61896367,50.38399848,48.26778505,16.43151086,0.151568238,103.03392009999999,132.6787839
18.16171288,39.42281399,50.36866994,48.56281984,16.22743921,0.10212579,101.68845470000001,134.7814425
18.54093372,39.22666431,50.35334141,48.85785464,16.02590204,0.022275653,100.360559,136.884101
18.92015456,39.03051462,50.33801287,49.15288943,15.82686787,-0.097337867,99.05000366,138.9867596
19.29937539,38.83436494,50.32268434,49.44792423,15.63030561,-0.267878755,97.75656214,141.0894181
19.67859623,38.63821526,50.307355799999996,49.74295902,15.43618455,-0.502542211,96.48001099,143.19207659999998
20.05781707,38.44206558,50.29202727,50.03799381,15.24447439,-0.816793743,95.22012964,145.2947352
20.43703791,38.24591589,50.27669873,50.33302861,15.05514518,-1.22862493,93.97670041,147.39739369999998
20.81625874,38.04976621,50.2613702,50.628063399999995,14.86816735,-1.7588264040000001,92.74950847,149.5000522
21.19547958,37.85361653,50.24604167,50.9230982,14.6835117,-2.431278559,91.53834178,151.6027108
21.57470042,37.65746684,50.23071313,51.21813299,14.50114938,-3.2732605410000004,90.34299107,153.70536930000003
21.95392126,37.46131716,50.2153846,51.51316778,14.32105192,-4.315778013,89.16324981,155.80802780000002
22.3331421,37.26516748,50.20005606,51.80820258,14.14319119,-5.59391026,87.99891417,157.9106864
