AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
47.97375153,31.07722456,49.53003997,70.00878077,5.457103872,0.33577636299999997,9.540188445,118.5882882
50.01852999,30.803430300000002,49.57115469,70.35629,5.356402279,0.334935845,9.133760401,120.2781999
52.06330844,30.52963605,49.61226941,70.70379922,5.257558963,0.34146645,8.744646873999999,121.96811159999999
54.10808689,30.25584179,49.65338413,71.05130845,5.160539632,0.359391395,8.372110237000001,123.6580233
56.15286534,29.98204753,49.69449886,71.39881767,5.065310629,0.393770028,8.015444285,125.3479351
58.19764379,29.70825327,49.73561358,71.74632690000001,4.971838915,0.450845795,7.673972902,127.03784679999998
60.24242224,29.43445902,49.7767283,72.09383612,4.880092063999999,0.538205704,7.347048772999999,128.7277585
62.28720069,29.16066476,49.81784302,72.44134535,4.790038244,0.664951696,7.034052161,130.4176702
64.33197914,28.8868705,49.85895774,72.78885458,4.701646216,0.8418842990000001,6.73438973,132.1075819
66.37675759,28.61307624,49.90007246,73.1363638,4.614885312,1.0816989609999998,6.447493422000001,133.7974936
68.42153604,28.33928198,49.94118718,73.48387303,4.529725433,1.3991954359999998,6.172819378,135.4874053
70.46631449,28.06548773,49.98230191,73.83138225,4.4461370360000005,1.811500629,5.909846909,137.177317
72.51109294,27.79169347,50.02341663,74.17889148,4.36409112,2.338305272,5.658077509,138.86722869999997
