AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,12.86188611,50.38479696,81.42396114,6.228147661,8.377237154,2.306513041,117.8565727
100.0,12.69507687,50.39684188,81.64311649,6.153930465,9.682030052,2.2061273669999997,118.93885359999999
100.0,12.52826763,50.40888679,81.86227185,6.080597672000001,11.60693652,2.1101107480000003,120.0211345
100.0,12.3614584,50.42093171,82.08142721,6.008138743,14.28986697,2.0182730319999997,121.1034154
100.0,12.19464916,50.43297662,82.30058257,5.936543265,17.88718852,1.930432341,122.1856963
100.0,12.02783992,50.44502154,82.51973793,5.8658009479999995,22.57525345,1.846414714,123.2679773
100.0,11.86103068,50.45706645,82.73889329,5.795901626,28.55199948,1.766053761,124.3502582
100.0,11.69422144,50.46911136,82.95804865,5.726835253,36.03862325,1.6891903330000002,125.43253909999999
100.0,11.52741221,50.48115628,83.17720401,5.658591904,45.2813285,1.61567221,126.51482
100.0,11.36060297,50.49320119,83.39635937,5.591161771,56.55315042,1.5453537940000002,127.5971009
100.0,11.19379373,50.50524611,83.61551472,5.5245351639999996,70.15585741,1.4780958240000002,128.6793818
100.0,11.02698449,50.51729102,83.83467008,5.458702507000001,86.421932,1.413765104,129.76166270000002
100.0,10.86017526,50.52933594,84.05382544,5.393654338999999,105.716632,1.35223423,130.84394369999998
