AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,6.041685362000001,25.5397913,80.89747844,0.47282715299999994,11.72852598,2.065981561,114.92530479999999
100.0,5.376425718999999,25.27743805,81.29890904,0.445940678,-2.388063762,1.920636565,117.20108379999999
100.0,4.711166077,25.0150848,81.70033964,0.420583054,-24.76705825,1.785516815,119.4768629
100.0,4.045906434,24.75273156,82.10177023,0.396667347,-58.17088833,1.659902948,121.752642
100.0,3.380646791,24.49037831,82.50320083,0.374111563,-105.93469509999998,1.54312621,124.02842109999999
100.0,2.715387148,24.22802506,82.90463142,0.352838375,-172.04040039999998,1.4345648969999998,126.30420020000001
100.0,2.050127505,23.96567182,83.30606202,0.332774848,-261.1963121,1.333641039,128.57997930000002
100.0,1.384867862,23.70331857,83.70749262,0.313852198,-378.92244730000004,1.239817331,130.8557584
100.0,0.719608219,23.44096532,84.10892321,0.29600555100000003,-531.6417586,1.152594266,133.1315375
100.0,0.054348575999999996,23.17861208,84.51035381,0.279173722,-726.7774471,1.071507478,135.4073166
100.0,-0.610911067,22.91625883,84.9117844,0.263299004,-972.8565461000001,0.9961252709999999,137.6830957
100.0,-1.276170709,22.65390558,85.313215,0.248326975,-1279.61996,0.926046319,139.95887480000002
100.0,-1.9414303519999998,22.39155234,85.71464559999998,0.234206303,-1658.139142,0.860897529,142.2346539
