AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,8.246084632,50.06121786,78.63850374,5.540118586,2.356691987,15.01721203,129.7883707
100.0,7.72597587,50.09206884,78.88179785,5.4982626329999995,2.807861525,14.54447768,131.693037
100.0,7.205867108,50.12291981,79.12509196,5.456722905,3.503235466,14.08662477,133.5977034
100.0,6.685758347,50.15377079,79.36838606,5.415497012,4.526022579,13.64318485,135.5023697
100.0,6.165649585,50.18462177,79.61168017,5.374582583,5.976380429,13.21370419,137.407036
100.0,5.645540822999999,50.21547275,79.85497428,5.333977266000001,7.973502625,12.79774336,139.3117023
100.0,5.125432061000001,50.24632373,80.09826839,5.293678723999999,10.65785243,12.39487678,141.2163686
100.0,4.6053233,50.27717471,80.34156249,5.25368464,14.19354726,12.00469224,143.121035
100.0,4.085214538,50.30802569,80.5848566,5.213992715,18.77089867,11.62679051,145.0257013
100.0,3.5651057760000002,50.33887667,80.82815071,5.174600664,24.60911235,11.26078494,146.9303676
100.0,3.044997014,50.36972765,81.07144481,5.135506223,31.95915266,10.90630104,148.8350339
100.0,2.5248882530000003,50.40057863,81.31473892,5.096707142,41.10677634,10.56297612,150.7397002
100.0,2.004779491,50.43142961,81.55803303,5.058201192,52.37573978,10.2304589,152.64436659999998
