AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,10.82153531,50.38634605,82.65007473,10.03858155,4.1888005569999995,1.774981739,99.93148405
100.0,10.76504732,50.38794982,82.82163618,10.02717554,3.943794221,1.7082126819999999,99.93315058
100.0,10.70855933,50.3895536,82.99319764,10.01578249,3.589301831,1.64395526,99.93481711
100.0,10.65207134,50.39115737,83.16475909,10.00440238,3.0779378719999997,1.582114993,99.93648364
100.0,10.59558335,50.39276114,83.33632055,9.993035209,2.350293122,1.5226009580000002,99.93815017
100.0,10.53909536,50.39436491,83.50788201,9.98168095,1.333146722,1.4653256469999998,99.93981669
100.0,10.48260736,50.39596869,83.67944346,9.970339592,-0.062468268,1.410204847,99.94148322
100.0,10.42611937,50.39757246,83.85100492,9.95901112,-1.9433510319999998,1.357157514,99.94314975
100.0,10.36963138,50.39917623,84.02256637,9.947695519,-4.43637604,1.306105649,99.94481628
100.0,10.31314339,50.40078001,84.19412783,9.936392776,-7.690898142000001,1.25697419,99.94648281
100.0,10.2566554,50.40238378,84.36568929,9.925102875,-11.88132491,1.209690897,99.94814934
100.0,10.20016741,50.40398755,84.53725074,9.913825801,-17.20986136,1.164186248,99.94981587
100.0,10.14367942,50.40559132,84.7088122,9.902561541,-23.90943229,1.120393336,99.9514824
