AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,8.275887839,51.55831863,76.80947172,10.689352,7.661099613999999,3.729318782,110.12628240000001
100.0,8.061394265,51.56170713,76.96682263,10.74070931,8.0564307,3.5628178310000003,110.5971128
100.0,7.846900691,51.56509563,77.12417355,10.79231337,8.778683462,3.4037505610000003,111.0679432
100.0,7.6324071170000005,51.56848414,77.28152446,10.84416537,9.946339996,3.2517850839999998,111.5387736
100.0,7.417913542999999,51.57187264,77.43887537,10.89626649,11.7027422,3.106604331,112.00960400000001
100.0,7.203419969,51.57526114,77.59622628,10.94861793,14.21920485,2.967905387,112.48043440000001
100.0,6.988926394,51.57864965,77.75357719,11.0012209,17.69834881,2.835398863,112.9512648
100.0,6.77443282,51.58203815,77.91092809999999,11.05407659,22.37766112,2.708808288,113.4220952
100.0,6.559939246,51.58542666,78.06827901,11.10718624,28.53328896,2.587869537,113.89292560000001
100.0,6.345445672,51.58881516,78.22562992,11.16055105,36.48407427,2.472330275,114.36375600000001
100.0,6.130952098,51.59220366,78.38298083,11.21417225,46.59583594,2.361949434,114.8345864
100.0,5.916458523999999,51.59559217,78.54033175,11.26805108,59.28590633,2.256496709,115.3054168
100.0,5.70196495,51.59898067,78.69768266,11.32218878,75.02792921,2.155752077,115.7762472
