AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,11.07796655,50.26657395,83.51070497,6.06090793,14.91343613,2.987056139,111.9877547
100.0,10.91614426,50.2761097,83.75188266,6.021599902999999,15.05615697,2.885139755,113.2648457
100.0,10.75432197,50.28564544,83.99306035,5.982546809,15.55748455,2.786700691,114.54193670000001
100.0,10.59249968,50.29518119,84.23423805,5.943746994,16.54719913,2.691620303,115.81902759999998
100.0,10.43067739,50.30471694,84.47541574,5.905198815,18.18048774,2.599783995,117.0961186
100.0,10.2688551,50.31425268,84.71659344,5.86690064,20.64097062,2.511081081,118.3732095
100.0,10.10703281,50.32378843,84.95777113,5.828850847999999,24.14393582,2.4254046519999997,119.65030049999999
100.0,9.945210515,50.33332418,85.19894882,5.791047828,28.93978852,2.3426514469999997,120.9273915
100.0,9.783388224,50.34285992,85.44012652,5.753489978999999,35.31772141,2.262721726,122.2044824
100.0,9.621565933,50.35239567,85.68130421,5.716175712,43.60961259,2.185519154,123.48157340000002
100.0,9.459743642000001,50.36193142,85.92248190000001,5.679103447,54.19415736,2.110950683,124.75866429999999
100.0,9.297921351,50.37146717,86.16365959999999,5.642271613999999,67.50124049,2.038926439,126.0357553
100.0,9.13609906,50.38100291,86.40483729,5.605678654,84.01655515,1.969359615,127.3128463
