AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,8.399437235,52.65401714,74.19814711,14.16789228,5.238880479,4.715720791,97.89349024
100.0,8.274637328999999,52.6758586,74.31414865,14.22013757,6.5151441310000004,4.526875746,97.94705892
100.0,8.149837422000001,52.69770006,74.43015019,14.27257551,8.492139182999999,4.345593162,98.0006276
100.0,8.025037515,52.71954152,74.54615172,14.32520682,11.37634331,4.171570192,98.05419627
100.0,7.9002376089999995,52.74138297,74.66215326,14.37803221,15.41253554,4.004516121,98.10776495
100.0,7.7754377020000005,52.76322443,74.7781548,14.4310524,20.88827715,3.844151871,98.16133363
100.0,7.650637795,52.78506589,74.89415634,14.48426811,28.13869868,3.690209545,98.21490229999999
100.0,7.525837889,52.80690735,75.01015787,14.53768006,37.5516024,3.542431969,98.26847098
100.0,7.401037982,52.8287488,75.12615941,14.59128896,49.57288981,3.400572272,98.32203966
100.0,7.276238075,52.85059026,75.24216095,14.64509556,64.71232333,3.2643934669999997,98.37560833
100.0,7.1514381689999995,52.87243172,75.35816248,14.69910057,83.54963188,3.133668058,98.42917701
100.0,7.0266382620000005,52.89427318,75.47416402,14.75330473,106.7409695,3.008177659,98.48274569
100.0,6.901838355,52.91611463,75.59016556,14.80770877,135.0257368,2.8877126289999997,98.53631436
