AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,8.178741192,49.949499573445344,72.59569064083685,6.176220526,4.517840347658656,26.82311951444633,117.3450445
100.0,7.977260765,49.94413339617646,72.8981434893724,6.153076536,4.408329513427885,26.283925264593226,118.74695279999999
100.0,7.775780338,49.9387672194958,73.20059633774062,6.130019272999999,4.239440500899037,25.75787606597739,120.14886100000001
100.0,7.574299911000001,49.93340104289918,73.50304918606692,6.107048412,3.9889237980625007,25.244588793661023,121.5507693
100.0,7.372819484,49.928034865714324,73.8055020343096,6.084163629,3.6291752024567305,24.743693415740108,122.95267759999999
100.0,7.171339057000001,49.92266868924368,74.10795488280334,6.061364602,3.1264585522932697,24.254832483107354,124.35458590000002
100.0,6.96985863,49.91730251210085,74.41040773104602,6.038651009,2.4400654422355776,23.77766063850848,125.7564942
100.0,6.768378202,49.9119363357563,74.71286057949787,6.01602253,1.521409712360576,23.311844146615808,127.1584025
100.0,6.566897775,49.906570158445355,75.01531342744771,5.993478846,0.3130544866682691,22.857060446406773,128.5603108
100.0,6.365417347999999,49.90120398235292,75.317766276318,5.971019639,-1.252330453538461,22.412997721101693,129.962219
100.0,6.163936921,49.89583780529414,75.62021912418405,5.948644592999999,-3.253083178192306,21.979354490887,131.3641273
100.0,5.9624564939999996,49.890471628781526,75.92267197267776,5.926353392999999,-5.779738225879798,21.55583921595479,132.76603559999998
100.0,5.7609760670000005,49.88510545189074,76.22512482104605,5.904145722999999,-8.936291525466343,21.142169921774006,134.1679439
