AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
44.05286365,33.828351299999994,49.74452818,65.77665527,6.852817787999999,0.428140408,51.97635814,115.2408138
45.47519178,33.57174836,49.732946399999996,66.11133733,6.7314664870000005,0.206835605,51.20253931,116.71006059999999
46.89751991,33.31514543,49.72136463,66.44601939,6.612264103999999,-0.100820793,50.44024101,118.17930729999999
48.31984804,33.05854249,49.70978286,66.78070145,6.495172585,-0.5126207429999999,49.68929174,119.648554
49.74217617,32.80193955,49.69820108,67.11538351,6.380154548999999,-1.048518958,48.94952252,121.1178007
51.1645043,32.54533662,49.68661931,67.45006557,6.26717328,-1.73078243,48.22076691,122.58704740000002
52.58683242,32.28873368,49.67503753,67.78474763,6.15619271,-2.584144655,47.50286095,124.05629409999999
54.00916055,32.03213074,49.66345576,68.11942969,6.047177409,-3.63596454,46.79564309,125.5255409
55.43148868,31.77552781,49.65187399,68.45411175,5.940092577000001,-4.916390014,46.09895423,126.9947876
56.85381681,31.51892487,49.64029221,68.78879381,5.8349040279999995,-6.458526352000001,45.4126376,128.46403429999998
58.27614494,31.26232193,49.62871044,69.12347587,5.731578183,-8.298609206,44.73653878,129.933281
59.69847307,31.005719,49.61712866,69.45815793,5.630082055,-10.47618237,44.07050565,131.4025277
61.120801199999995,30.74911606,49.60554689,69.79283999,5.530383245,-13.0342803,43.41438836,132.8717744
