AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
89.69282959,22.15453125,50.29160463,78.18252699,3.096334125,1.138475176,15.81024063,115.12329779999999
90.93015204,21.61926989,50.2943866,78.69154194,2.998373518,1.208306209,15.21769508,116.6386033
92.16747449,21.08400853,50.29716857,79.20055688,2.903512151,1.3109506990000002,14.64735731,118.1539088
93.40479694,20.54874717,50.29995054,79.70957182,2.8116519710000003,1.455203206,14.09839499,119.6692143
94.64211939,20.01348581,50.30273251,80.21858676,2.722698027,1.651169562,13.570007,121.18451979999999
95.87944183,19.47822445,50.30551448,80.7276017,2.6365583740000003,1.910380027,13.06142225,122.6998253
97.11676428,18.94296309,50.30829645,81.23661665,2.553143972,2.245907608,12.57189854,124.2151308
98.35408673,18.40770173,50.31107842,81.74563159,2.472368603,2.672491616,12.10072149,125.7304363
99.59140918,17.87244037,50.31386038,82.25464653,2.394148774,3.206666554,11.64720349,127.2457418
100.8287316,17.33717901,50.31664235,82.76366147,2.318403633,3.86689643,11.21068271,128.7610473
102.0660541,16.80191765,50.31942432,83.27267641,2.2450548869999998,4.673714566,10.79052211,130.27635279999998
103.3033765,16.26665629,50.32220629,83.78169136,2.174026719,5.649869007,10.38610854,131.7916583
104.540699,15.73139493,50.32498826,84.2907063,2.105245714,6.820473606,9.996851825,133.3069638
