AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,17.87745772,42.41034327,80.38662159,1.738356469,18.80308324,12.82439279,120.5913956
100.0,17.27991274,42.28921895,80.92002139,1.6643089309999999,17.95670991,12.309169099999998,122.76362809999999
100.0,16.68236777,42.16809462,81.45342119,1.593415545,16.68869286,11.81464468,124.9358607
100.0,16.08482279,42.0469703,81.98682098,1.525541953,14.90314479,11.33998792,127.1080932
100.0,15.48727782,41.92584597,82.52022078,1.460559525,12.48833264,10.88440063,129.2803257
100.0,14.88973284,41.80472165,83.05362058,1.398345107,9.314738132999999,10.447116699999999,131.4525583
100.0,14.29218787,41.68359733,83.58702037,1.338780792,5.232965997,10.02740077,133.6247908
100.0,13.69464289,41.562473,84.12042017,1.281753697,0.071494454,9.624547047,135.79702340000003
100.0,13.09709792,41.44134868,84.65381997,1.227155744,-6.365737698999999,9.237878091,137.9692559
100.0,12.49955294,41.32022435,85.18721976,1.1748834609999999,-14.30191286,8.866743673,140.14148840000001
100.0,11.90200797,41.19910003,85.72061956,1.1248377840000001,-23.99009082,8.510519686,142.313721
100.0,11.30446299,41.07797571,86.25401936,1.076923867,-35.71614491,8.168607101000001,144.4859535
100.0,10.70691802,40.95685138,86.78741916,1.031050905,-49.80188362,7.840430952999999,146.658186
