AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,9.194026311,51.36786987,77.5699058,9.876740182999999,3.6194804019999998,5.729495472000001,85.19052058
100.0,8.914428722,51.32973839,77.82069513,9.862705973999999,3.029211685,5.497121554,84.37259028
100.0,8.634831132999999,51.29160691,78.07148445,9.848691707,2.3265948180000002,5.274172137,83.55465999
100.0,8.355233545,51.25347544,78.32227378,9.834697353,1.5040788530000002,5.060264988,82.73672969
100.0,8.075635956000001,51.21534396,78.57306311,9.820722884,0.554975167,4.855033374,81.91879940000001
100.0,7.796038368,51.17721248,78.82385243,9.806768272000001,-0.526294759,4.658125438,81.1008691
100.0,7.516440779,51.13908101,79.07464176,9.792833489,-1.743928435,4.4692035919999995,80.28293881
100.0,7.236843191,51.10094953,79.32543108,9.778918506,-3.100447472,4.287943941,79.46500851
100.0,6.957245602,51.06281806,79.57622041,9.765023295,-4.596377892,4.114035726,78.64707822
100.0,6.677648014,51.02468658,79.82700974,9.751147828999999,-6.229904781,3.94718079,77.82914792
100.0,6.398050425,50.986555100000004,80.07779906,9.737292079,-7.996500444,3.78709307,77.01121763
100.0,6.118452837,50.94842363,80.32858839,9.723456017,-9.888525237,3.633498105,76.19328733
100.0,5.838855248,50.91029215,80.57937771,9.709639615,-11.89480023,3.486132566,75.37535704
