AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,10.96963667,50.17388975,81.99212809,8.947207018,8.474956596,2.097834734,106.0514625
100.0,10.87071144,50.16946224,82.15655284,8.924505077000001,8.207017259,2.0196101000000004,106.3676138
100.0,10.7717862,50.16503472,82.32097759,8.901860738,8.143349152999999,1.944302328,106.683765
100.0,10.67286097,50.16060721,82.48540234,8.879273856000001,8.398098076,1.871802653,106.9999163
100.0,10.57393574,50.1561797,82.64982709,8.856744283,9.112056076,1.802006365,107.3160676
100.0,10.4750105,50.15175218,82.81425184,8.834271875,10.45614819,1.7348126609999999,107.6322188
100.0,10.37608527,50.14732467,82.97867659,8.811856487,12.63517253,1.670124493,107.94837009999999
100.0,10.27716004,50.14289716,83.14310134,8.789497974,15.891801699999998,1.607848436,108.26452140000002
100.0,10.17823481,50.13846965,83.30752609,8.767196192,20.51085378,1.547894545,108.5806727
100.0,10.07930957,50.13404213,83.47195083,8.744950996,26.82384079,1.490176231,108.8968239
100.0,9.980384341,50.12961462,83.63637558,8.722762244,35.21380282,1.434610133,109.2129752
100.0,9.881459108,50.12518711,83.80080033,8.700629791,46.1204359,1.381116,109.52912649999999
100.0,9.782533875,50.1207596,83.96522508,8.678553496000001,60.04552156,1.32961657,109.8452777
