Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Colombia,99.37639581,99.68853171,100.0006676,100.3128035,100.6249394,100.9370753,101.2492112,101.5613471,101.873483,102.1856189,102.4977548,102.8098907,103.1220266
Comoros,82.24580303,84.62672547,87.00764792,89.38857036,91.76949281,94.15041525,96.5313377,98.91226014,101.2931826,103.674105,106.0550275,108.4359499,110.8168724
Cabo Verde,96.84654967,99.13287682,101.419204,103.7055311,105.9918583,108.2781854,110.5645126,112.8508397,115.1371669,117.4234941,119.7098212,121.9961484,124.2824755
Costa Rica,99.94775492,100.0268015,100.1058481,100.1848947,100.2639413,100.3429879,100.4220345,100.5010811,100.5801277,100.6591743,100.7382209,100.8172675,100.8963141
Caribbean small states,97.98293061,98.62307158,99.26321255,99.90335352,100.5434945,101.1836355,101.8237764,102.4639174,103.1040584,103.7441993,104.3843403,105.0244813,105.6646222
Cuba,101.7602597,102.0526042,102.3449488,102.6372934,102.9296379,103.2219825,103.5143271,103.8066716,104.0990162,104.3913608,104.6837054,104.9760499,105.2683945
Curacao,100,100,100,100,100,100,100,100,100,100,100,100,100
Cayman Islands,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,50.97950144,50.66263916,50.34577688,50.02891461,49.71205233,49.39519005,49.07832777,48.76146549,48.44460322,48.12774094,47.81087866,47.49401638,47.1771541
Dominica,104.787829,106.138072,107.4883149,108.8385578,110.1888007,111.5390436,112.8892865,114.2395295,115.5897724,116.9400153,118.2902582,119.6405011,120.990744
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100
Dominican Republic,102.6585667,103.4642938,104.270021,105.0757481,105.8814752,106.6872024,107.4929295,108.2986567,109.1043838,109.910111,110.7158381,111.5215652,112.3272924
Algeria,99.29154774,99.31898702,99.3464263,99.37386558,99.40130486,99.42874414,99.45618343,99.48362271,99.51106199,99.53850127,99.56594055,99.59337983,99.62081911
East Asia & Pacific (excluding high income),99.05081779,99.62140326,100.1919887,100.7625742,101.3331597,101.9037452,102.4743306,103.0449161,103.6155016,104.1860871,104.7566725,105.327258,105.8978435
Early-demographic dividend,89.18476808,90.47408096,91.76339385,93.05270673,94.34201961,95.6313325,96.92064538,98.20995827,99.49927115,100.788584,102.0778969,103.3672098,104.6565227
East Asia & Pacific,99.20394645,99.72346086,100.2429753,100.7624897,101.2820041,101.8015185,102.3210329,102.8405473,103.3600617,103.8795761,104.3990905,104.9186049,105.4381194
Europe & Central Asia (excluding high income),100.4333438,100.5265789,100.619814,100.7130491,100.8062842,100.8995193,100.9927545,101.0859896,101.1792247,101.2724598,101.3656949,101.45893,101.5521651
Europe & Central Asia,100.2028517,100.245902,100.2889523,100.3320027,100.375053,100.4181033,100.4611536,100.504204,100.5472543,100.5903046,100.633355,100.6764053,100.7194556
Ecuador,100.4832089,100.8857078,101.2882066,101.6907054,102.0932042,102.495703,102.8982019,103.3007007,103.7031995,104.1056983,104.5081972,104.910696,105.3131948
"Egypt, Arab Rep.",101.3503738,101.5941594,101.8379451,102.0817308,102.3255165,102.5693022,102.8130879,103.0568736,103.3006593,103.544445,103.7882307,104.0320164,104.2758021
Euro area,100,100,100,100,100,100,100,100,100,100,100,100,100
Eritrea,48.54776417,49.63441462,50.72106508,51.80771553,52.89436599,53.98101644,55.0676669,56.15431735,57.24096781,58.32761826,59.41426872,60.50091918,61.58756963
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100
Estonia,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopia,37.79606122,39.32178904,40.84751687,42.37324469,43.89897251,45.42470034,46.95042816,48.47615598,50.00188381,51.52761163,53.05333946,54.57906728,56.1047951
European Union,100,100,100,100,100,100,100,100,100,100,100,100,100
Fragile and conflict affected situations,49.33786273,50.15673546,50.97560819,51.79448092,52.61335365,53.43222637,54.2510991,55.06997183,55.88884456,56.70771729,57.52659002,58.34546274,59.16433547
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100
Fiji,101.1935355,102.6378663,104.0821971,105.5265279,106.9708587,108.4151895,109.8595204,111.3038512,112.748182,114.1925128,115.6368436,117.0811744,118.5255052
France,100,100,100,100,100,100,100,100,100,100,100,100,100
Faroe Islands,100,100,100,100,100,100,100,100,100,100,100,100,100
"Micronesia, Fed. Sts.",78.60515285,80.39967541,82.19419797,83.98872054,85.7832431,87.57776566,89.37228822,91.16681078,92.96133335,94.75585591,96.55037847,98.34490103,100.1394236
Gabon,93.17556232,94.18670125,95.19784018,96.20897911,97.22011804,98.23125697,99.2423959,100.2535348,101.2646738,102.2758127,103.2869516,104.2980905,105.3092295
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,100.2826147,100.3757669,100.4689191,100.5620712,100.6552234,100.7483755,100.8415277,100.9346798,101.027832,101.1209841,101.2141363,101.3072884,101.4004406
Ghana,81.85141393,83.92736429,86.00331465,88.07926502,90.15521538,92.23116575,94.30711611,96.38306647,98.45901684,100.5349672,102.6109176,104.6868679,106.7628183
Gibraltar,100,100,100,100,100,100,100,100,100,100,100,100,100
Guinea,33.79729729,34.76745268,35.73760807,36.70776346,37.67791885,38.64807423,39.61822962,40.58838501,41.5585404,42.52869579,43.49885118,44.46900657,45.43916196
"Gambia, The",49.80603509,50.99475403,52.18347296,53.37219189,54.56091082,55.74962976,56.93834869,58.12706762,59.31578656,60.50450549,61.69322442,62.88194335,64.07066229
Guinea-Bissau,15.37416814,15.93417065,16.49417315,17.05417565,17.61417816,18.17418066,18.73418316,19.29418567,19.85418817,20.41419067,20.97419318,21.53419568,22.09419818
Equatorial Guinea,68.338407,68.67729586,69.01618472,69.35507358,69.69396244,70.0328513,70.37174017,70.71062903,71.04951789,71.38840675,71.72729561,72.06618447,72.40507334
Greece,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,92.85129083,93.24445291,93.63761499,94.03077708,94.42393916,94.81710125,95.21026333,95.60342541,95.99658749,96.38974958,96.78291166,97.17607374,97.56923583
Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100
Guatemala,93.81388997,95.00412725,96.19436453,97.38460181,98.57483909,99.76507637,100.9553136,102.1455509,103.3357882,104.5260255,105.7162628,106.9065,108.0967373
Guam,100,100,100,100,100,100,100,100,100,100,100,100,100
Guyana,85.12295994,85.71656516,86.31017038,86.9037756,87.49738082,88.09098605,88.68459127,89.27819649,89.87180171,90.46540693,91.05901216,91.65261738,92.2462226
High income,100.0511504,100.070788,100.0904256,100.1100632,100.1297008,100.1493384,100.168976,100.1886136,100.2082512,100.2278887,100.2475263,100.2671639,100.2868015
"Hong Kong SAR, China",100,100,100,100,100,100,100,100,100,100,100,100,100
Honduras,89.69282959,90.93015204,92.16747449,93.40479694,94.64211939,95.87944183,97.11676428,98.35408673,99.59140918,100.8287316,102.0660541,103.3033765,104.540699
Heavily indebted poor countries (HIPC),36.9881075,38.00970046,39.03129341,40.05288637,41.07447932,42.09607228,43.11766523,44.13925819,45.16085114,46.1824441,47.20403705,48.22563001,49.24722296
Croatia,100,100,100,100,100,100,100,100,100,100,100,100,100
Haiti,39.20473925,39.59502353,39.98530782,40.3755921,40.76587638,41.15616067,41.54644495,41.93672923,42.32701352,42.7172978,43.10758208,43.49786637,43.88815065
Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100
IBRD only,96.48934484,97.20584356,97.92234228,98.638841,99.35533972,100.0718384,100.7883372,101.5048359,102.2213346,102.9378333,103.654332,104.3708308,105.0873295
IDA & IBRD total,86.43667219,87.16264532,87.88861845,88.61459158,89.34056471,90.06653784,90.79251097,91.51848411,92.24445724,92.97043037,93.6964035,94.42237663,95.14834976
