Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Ecuador,120.2869714,122.0480915,123.8092116,125.5703317,127.3314518,129.0925719,130.8536919,132.614812,134.3759321,136.1370522,137.8981723,139.6592924,141.4204125
"Egypt, Arab Rep.",121.1095631,123.1990701,125.2885771,127.378084,129.467591,131.557098,133.646605,135.736112,137.825619,139.9151259,142.0046329,144.0941399,146.1836469
Euro area,111.7112393,112.4533172,113.1953952,113.9374732,114.6795511,115.4216291,116.1637071,116.905785,117.647863,118.3899409,119.1320189,119.8740969,120.6161748
Spain,115.9424334,117.2836842,118.624935,119.9661857,121.3074365,122.6486873,123.989938,125.3311888,126.6724396,128.0136903,129.3549411,130.6961919,132.0374427
European Union,109.6232631,110.2401648,110.8570665,111.4739681,112.0908698,112.7077714,113.3246731,113.9415748,114.5584764,115.1753781,115.7922798,116.4091814,117.0260831
Fragile and conflict affected situations,117.2370337,118.8775281,120.5180224,122.1585168,123.7990111,125.4395055,127.0799998,128.7204941,130.3609885,132.0014828,133.6419772,135.2824715,136.9229659
Finland,99.73725313,99.80927866,99.88130419,99.95332972,100.0253553,100.0973808,100.1694063,100.2414318,100.3134574,100.3854829,100.4575084,100.529534,100.6015595
Fiji,101.7717963,102.3316453,102.8914944,103.4513434,104.0111924,104.5710415,105.1308905,105.6907395,106.2505885,106.8104376,107.3702866,107.9301356,108.4899847
France,108.4428477,108.9194575,109.3960674,109.8726772,110.3492871,110.8258969,111.3025067,111.7791166,112.2557264,112.7323363,113.2089461,113.685556,114.1621658
Faroe Islands,115.1302576,116.00977,116.8892823,117.7687947,118.6483071,119.5278194,120.4073318,121.2868442,122.1663565,123.0458689,123.9253813,124.8048936,125.684406
Gabon,121.4534663,122.8563865,124.2593066,125.6622268,127.065147,128.4680671,129.8709873,131.2739075,132.6768276,134.0797478,135.482668,136.8855881,138.2885083
United Kingdom,112.7916927,113.3309147,113.8701368,114.4093588,114.9485808,115.4878028,116.0270249,116.5662469,117.1054689,117.644691,118.183913,118.723135,119.262357
Ghana,127.9098699,130.0942663,132.2786626,134.4630589,136.6474552,138.8318515,141.0162479,143.2006442,145.3850405,147.5694368,149.7538331,151.9382294,154.1226258
Guinea,123.2159017,125.0182809,126.8206602,128.6230394,130.4254186,132.2277979,134.0301771,135.8325563,137.6349356,139.4373148,141.239694,143.0420733,144.8444525
"Gambia, The",99.15198326,99.94581563,100.739648,101.5334804,102.3273127,103.1211451,103.9149774,104.7088098,105.5026422,106.2964745,107.0903069,107.8841393,108.6779716
Guinea-Bissau,129.6022895,131.7583236,133.9143576,136.0703916,138.2264256,140.3824597,142.5384937,144.6945277,146.8505618,149.0065958,151.1626298,153.3186638,155.4746979
