Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
China,6.317099255,4.969625159,3.03323984,0.378573526,-3.142505313,-7.698704287,-13.48122891,-20.70581489,-29.61487393,-40.4797559,-53.6031305,-69.32149128,-88.00778508
Cote d'Ivoire,0.572294399,0.626229904,0.692344768,0.773043124,0.871100103,0.989697727,1.132462609,1.303505516,1.507462814,1.749539836,2.035556201,2.371993125,2.766042755
Cameroon,0.400953753,0.507109688,0.673832679,0.9213737,1.274113505,1.761079484,2.41649958,3.280394446,4.399209029,5.826484755,7.623573507,9.860394557,12.61623565
"Congo, Dem. Rep.",0.052797805,0.038280254,0.015339239,-0.0181127,-0.064469907,-0.126462627,-0.207187676,-0.310140841,-0.439251023,-0.598916199,-0.794041222,-1.030077525,-1.313064755
"Congo, Rep.",0.275111662,-0.158934014,-0.814542845,-1.753296991,-3.047596966,-4.78187868,-7.053911603,-9.976180534,-13.67735341,-18.30383761,-24.0214273,-31.01704414,-39.50057389
Colombia,1.528885802,1.239731368,0.807272009,0.19405924,-0.643510786,-1.755846724,-3.200852313,-5.044658664,-7.362399743,-10.23903222,-13.77020083,-18.06315055,-23.2376865
Comoros,0.21255044,0.221865114,0.235747715,0.255306503,0.281790702,0.316599471,0.361290995,0.41759172,0.487405706,0.572824093,0.676134668,0.799831535,0.946624865
Cabo Verde,0.899341928,0.932219362,1.016554125,1.172794766,1.425467728,1.803653227,2.341492598,3.078728055,4.061275772,5.341833223,6.980521701,9.045564936,11.61400475
Costa Rica,1.651647206,1.692728845,1.757950833,1.85242331,1.981579034,2.15113603,2.367052908,2.635476486,2.962681368,3.355001101,3.818750583,4.360139322,4.985175228
Caribbean small states,9.297995627,9.919682621,10.93272149,12.46005539,14.64607476,17.65883474,21.69240105,26.96932773,33.74326988,42.30173464,52.96897375,66.10902072,82.12887615
Cuba,2.641321471,2.25656651,1.737059001,1.062341285,0.210830033,-0.840099371,-2.114012725,-3.635300485,-5.42904414,-7.520864786,-9.936753223,-12.70288088,-15.84539089
Cayman Islands,8.418159755,7.826899982,7.023972357,5.952089742,4.544214869,2.722533952,0.397366803,-2.533988344,-6.188477098,-10.69858009,-16.21367483,-22.90147011,-30.94951469
Cyprus,5.063466634,5.276529675,5.729560214,6.488954111,7.631498925,9.245392335,11.43131944,14.3035905,17.99134064,22.63979308,28.41158749,35.48817491,44.07128092
Djibouti,0.96064354,1.112525436,1.323276653,1.610177062,1.993842472,2.498629962,3.153071848,3.990339224,5.048735972,6.372224163,8.010981747,10.02199346,12.46967583
Dominica,1.880426263,1.941126997,2.048589857,2.219051255,2.471758382,2.82930824,3.318008899,3.968263625,4.814978555,5.897994564,7.262543986,8.959732853,11.04704931
Denmark,5.434084986,5.143558408,4.775312104,4.282428737,3.60546901,2.670675155,1.388034996,-0.350798071,-2.674733835,-5.73562743,-9.710819554,-14.80583941,-21.25727502
Dominican Republic,2.224189204,2.34121607,2.489963886,2.670810165,2.882717637,3.122926569,3.386618008,3.666546843,3.952643596,4.231583815,4.48632398,4.695602818,4.83340691
Algeria,3.628063603,3.459261211,3.182763469,2.770553429,2.19011078,1.403936176,0.369044371,-0.963574791,-2.649528529,-4.751627369,-7.340526464,-10.49540296,-14.30467036
East Asia & Pacific (excluding high income),4.873735641,3.891782254,2.484005453,0.556429783,-1.998707797,-5.304311222,-9.4998601,-14.74292827,-21.21078842,-29.10210508,-38.63871829,-50.06752017,-63.66242677
Early-demographic dividend,2.198917968,2.082963475,1.91203314,1.673917178,1.354585929,0.938007564,0.405954554,-0.262201433,-1.08970651,-2.102653779,-3.330225062,-4.804945508,-6.562951371
East Asia & Pacific,5.459852796,4.540915476,3.216234677,1.392932899,-1.036126686,-4.193807554,-8.220259542,-13.27457364,-19.53653459,-27.20847401,-36.51722668,-47.71619282,-61.08750893
Ecuador,2.945287967,3.135987084,3.424856413,3.84856371,4.45176155,5.288125092,6.421465935,7.926924526,9.892243578,12.41912494,15.62467241,19.6429229,24.62646844
